"activity" "subject" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()"
"LAYING" 1 0.274429937017915 -0.017361564243446 -0.110529328573967 -0.578488340390195 -0.537274615370103 -0.645043528793105 0.666488465834419 -0.00820480244777416 0.0619229824790863 -0.967139582649294 -0.959376020933768 -0.944240213861021 0.0768809417837079 0.00914465593730918 -0.0029302814792747 -0.61429236406373 -0.617945397206488 -0.771025238911944 -0.0280793113444454 -0.0745701915246531 0.0845867822597991 -0.714187162042074 -0.705545510865206 -0.684904091510315 -0.096770938648241 -0.0410141353702769 -0.0546197810136591 -0.73568223567177 -0.805619492619218 -0.762379142361764 -0.542097272631563 -0.589841226597169 -0.542097272631563 -0.589841226597169 -0.639921851476021 -0.621967065307438 -0.61586907754221 -0.684745051373702 -0.776957949194788 -0.801631358666287 -0.599515161324615 -0.555593754701004 -0.683746184375662 -0.571698242613561 -0.557844167676802 -0.653987067338599 -0.213874747864245 0.0297719983670011 0.062807155898047 -0.636974504404587 -0.637960780138046 -0.751792010940825 -0.625665651749875 -0.622377549485592 -0.789121004992177 -0.0461970425275516 -0.183504022472248 -0.0976100252117334 -0.667437836217155 -0.726801041474701 -0.673470234648817 -0.730804256038198 -0.697843807141368 -0.71914762969392 -0.0972051455203257 -0.153051318227839 -0.0513612840607161 -0.580329805469826 -0.660588298657763 0.0755897412936976 -0.612084200219202 -0.638556330390499 0.190941639441851 -0.719516725416015 -0.717939287491585 -0.0409036929260699 -0.800706448055918 -0.817666891280673 0.143890123212356
"LAYING" 2 0.274851546313725 -0.0156857030189216 -0.108936154186275 -0.986475897352941 -0.964934255392157 -0.958879979411765 0.821155349764706 -0.106380307637255 -0.0918587064509804 -0.985076891862745 -0.982278277647059 -0.965367256666667 0.0766215562156863 0.0111771166049137 -0.00502568283696078 -0.987187976568627 -0.977419749117647 -0.985383566568627 -0.0207976698677059 -0.077817596245098 0.0867969982156863 -0.980497587254902 -0.973817106764706 -0.977247429705882 -0.100380198323529 -0.0398275046085686 -0.054371565149902 -0.985714683823529 -0.987097938431373 -0.987671618137255 -0.973348456176471 -0.967418118627451 -0.973348456176471 -0.967418118627451 -0.985444707352941 -0.982610612843137 -0.965294193431373 -0.966090975196078 -0.988289597843137 -0.987168339509804 -0.986291030882353 -0.96706632754902 -0.970418884313725 -0.986808309509804 -0.965341959705882 -0.955591202941176 -0.0285961111829804 0.13202902705 0.108883745667647 -0.987019998137255 -0.977141719803922 -0.982900484117647 -0.988605894509804 -0.97949475254902 -0.986506114019608 0.215618472729412 0.00403630130490196 0.0395573745647059 -0.97662712372549 -0.97685118754902 -0.97686335254902 -0.981872576568627 -0.972565220588235 -0.979512985980392 0.0124761857656863 -0.181307335525588 0.0283437223882353 -0.971346051764706 -0.969866100784314 0.223138555117647 -0.981627265980392 -0.98289194 0.368180667611765 -0.973392862843137 -0.967261283921569 0.000129419009803923 -0.987262110392157 -0.987702458333333 0.284425667168627
"SITTING" 1 0.274955197947248 -0.0174051372400917 -0.106939437410023 -0.641712065203211 -0.485609158208612 -0.558444150150367 0.664892127741972 0.0234236556122706 0.00820209164541284 -0.96151257396789 -0.951867989674312 -0.939404198430046 0.0793684007599541 0.00537335047111124 -0.003663982425625 -0.679368198683555 -0.618339376284725 -0.775240077936904 -0.0286801756132913 -0.0758120771877982 0.079917205524363 -0.748437914988188 -0.619939271322764 -0.594439983149312 -0.0960141987742282 -0.045876470198703 -0.0495144487104816 -0.785505251066514 -0.806441517192661 -0.740242540921789 -0.553319522405161 -0.591791009369839 -0.553319522405161 -0.591791009369839 -0.672753753530859 -0.659840065629346 -0.5772816506993 -0.636944667379243 -0.782962584235206 -0.811358084129587 -0.654695210378096 -0.531450914091021 -0.647682271680275 -0.637763884688475 -0.496816782476778 -0.549415851576479 -0.231984054872706 -0.0190662872711009 0.0229443313825459 -0.692368502863073 -0.634301214847706 -0.750562694356422 -0.694896710667053 -0.627326579935436 -0.798934929689335 -0.0705470955508291 -0.229552148257913 -0.114624046122775 -0.718770222235103 -0.688664898203956 -0.608052991163876 -0.759782270716743 -0.588368868600539 -0.629053662893578 -0.143436993559243 -0.215500630470642 -0.113994180476697 -0.594464427118693 -0.655244881406995 0.0674644724016089 -0.653237840663819 -0.670897002965906 0.157889851168544 -0.690861479327179 -0.665637999450596 -0.0985424176013222 -0.808203893488945 -0.82961163165367 0.108713056615252
"SITTING" 4 0.272539814977012 -0.0196269625326897 -0.11315608545977 -0.281964430525287 -0.17613742984931 -0.549282546551724 0.764436780229885 0.044337788916092 0.125457421218391 -0.956953066206897 -0.938823037356322 -0.949282320574713 0.0775713294482759 0.0174117419027931 -0.00360800725517241 -0.336788403446092 -0.251158235097701 -0.753874834367816 -0.0232873082755172 -0.0839998463471264 0.0868888209068965 -0.483022565356322 -0.667520037241379 -0.603180896781609 -0.116189387751724 -0.035932478745977 -0.0493020654252874 -0.503054162298851 -0.849875585632184 -0.565894748356322 -0.241791763733333 -0.34509942083908 -0.241791763733333 -0.34509942083908 -0.382594780214138 -0.383932867114943 -0.43332133988046 -0.52562316816092 -0.686436698735632 -0.733322662413793 -0.334927219252874 -0.183638950334483 -0.611943277701149 -0.263682625386207 -0.228399871908161 -0.552873982298851 -0.288644777227586 0.1315536406 -0.055979845282092 -0.372550915445977 -0.285192418755862 -0.720976018160919 -0.360214003509195 -0.265772746463218 -0.786448766436782 -0.14938759582977 -0.247045855852874 -0.226417574885057 -0.366240979524138 -0.732761832528736 -0.515054256965517 -0.522176196827586 -0.637891595977012 -0.675508491034483 -0.110704448928736 -0.393188059850575 0.187963566470115 -0.32662695802069 -0.461404361413793 0.16853958884023 -0.35743173438046 -0.425759905436782 0.139974876874713 -0.577405288747126 -0.57467201045977 -0.0148733344968966 -0.719798534367816 -0.771924614712644 0.248646947515517
"SITTING" 7 0.26975303484739 -0.0197172891035341 -0.113423584203213 -0.485187847278715 -0.456689568218876 -0.352185504281727 0.642454313855422 -0.0456977800429719 0.0394602698100442 -0.957858092349398 -0.955033427429719 -0.927020792851406 0.0836716912514056 0.00696488153534137 -0.00864496194248996 -0.528796993420683 -0.540023028026908 -0.591928672239679 -0.056196167979759 -0.059643871854739 0.102900904185984 -0.625450021895582 -0.581579749100402 -0.594305602899598 -0.0941973969615502 -0.0422900145865462 -0.0636891701071486 -0.637273681522892 -0.603126605369076 -0.695385495875502 -0.412083624852209 -0.416915340874819 -0.412083624852209 -0.416915340874819 -0.539232472351526 -0.451218703495582 -0.501441433911647 -0.523579608066265 -0.649748892682731 -0.582982689132932 -0.504482546899598 -0.473237529291566 -0.437201882291687 -0.478681597779518 -0.483349198381526 -0.359181784455462 -0.369959841736948 -0.0187446418277108 0.0132051099514458 -0.556494139779518 -0.563194917372972 -0.565807510943293 -0.542755182738956 -0.546316348600803 -0.616771362561446 -0.185527038107964 -0.2722001109751 -0.25919726962494 -0.572561349140562 -0.552659990730522 -0.582576783096385 -0.645724032746988 -0.605575545076305 -0.63780481635743 -0.129554354642651 -0.0724776580479518 -0.0858063119771486 -0.421909187971888 -0.506239545905221 -0.0208399166877671 -0.454728752709719 -0.451508524545382 0.0779830325314859 -0.555096296344056 -0.588176408626506 -0.0048728359476747 -0.59597963217739 -0.596649181482731 0.0551503715130522
"SITTING" 8 0.270759063295374 -0.0181894974688612 -0.106809623683986 -0.582958863017438 -0.349383732046263 -0.499472687913167 0.647498175409253 0.0303211113118861 0.0836542406807936 -0.954256666035587 -0.94844645047331 -0.923180663601423 0.084215745375516 0.000860301581786477 -0.0196719912994306 -0.575993073911744 -0.458724925167972 -0.66835678475516 0.00359053897160142 -0.091077509832669 0.0640867611561922 -0.656219242281851 -0.570941237019217 -0.511392038012811 -0.104969855200356 -0.0400922240331673 -0.0582887148366548 -0.674984452240214 -0.683086930288968 -0.695970301754448 -0.468522592843416 -0.554038979266192 -0.468522592843416 -0.554038979266192 -0.534248616612028 -0.564471999961566 -0.476214943826192 -0.581422885341281 -0.673625525658363 -0.715838385516014 -0.581831414648399 -0.374944236206406 -0.550979388719929 -0.585343460535587 -0.378656458967972 -0.513206312959075 -0.216022261686477 0.0263297524124555 0.0913951982033452 -0.59163500910605 -0.495906215569395 -0.644285802406762 -0.598546245236655 -0.45636839585694 -0.691480916950178 0.0212336768810676 -0.169061574411388 -0.0826086104950178 -0.601382421248399 -0.575938482711388 -0.525562919047438 -0.675275353078292 -0.573087292172598 -0.553968587869751 -0.117102793715658 -0.153879695796192 -0.0430258806635231 -0.512106792856939 -0.651638076286121 0.146541439681957 -0.529244911130605 -0.618027414911032 0.271528870278648 -0.609984289180071 -0.636673891144128 -0.0232241525951918 -0.70215621546726 -0.755717299964413 0.223748693337011
"SITTING" 9 0.270313841621528 -0.0209466555412396 -0.101233826213889 -0.555656544538194 -0.5758878952125 -0.506111776081806 0.670845545555556 -0.0467446999509028 0.104353653032743 -0.958784666180556 -0.949938115208333 -0.920554317815972 0.0840171430291667 0.00678485848399306 -0.00102998088194444 -0.578305161360069 -0.678923872274306 -0.721610094569444 -0.0701318154561458 -0.0729884312991667 0.109092913237986 -0.676452392569444 -0.670498220701389 -0.587557692291458 -0.0892254930640278 -0.0397344421815972 -0.053402884281875 -0.7617108665625 -0.773273878854167 -0.744656038298611 -0.505183470509188 -0.553038255314792 -0.505183470509188 -0.553038255314792 -0.621608245092361 -0.608862145384722 -0.550201866572569 -0.663198385034722 -0.7629795809375 -0.786176892048611 -0.579258404408681 -0.610267804090278 -0.592119122804271 -0.547995744907986 -0.586766083232639 -0.501074006965903 -0.291349229752569 -0.0879003298041667 -0.0304334227664236 -0.621377141312847 -0.699766614569444 -0.702931927996528 -0.572819893733993 -0.679065855003472 -0.739139922708333 -0.219176266215278 -0.296107744084757 -0.290292303180208 -0.639863219559028 -0.683924287600694 -0.612680463163889 -0.690689895534722 -0.667203220760417 -0.619468634127778 -0.205909254584222 -0.240880440259861 -0.196153280691528 -0.553186448295139 -0.624456827182986 -0.00358269125034722 -0.609193721940625 -0.611619343190972 0.0983598303289236 -0.700863097986111 -0.697729432621528 -0.108828634535764 -0.786473954201389 -0.801296292638889 0.0927763736788194
"STANDING" 1 0.265696920582133 -0.0182981725176081 -0.10784573454611 -0.545795331328326 -0.367716218227378 -0.502645746562824 0.744867411573487 -0.0825562579855908 0.072339870389049 -0.959859435936599 -0.951150627458213 -0.925817590867435 0.0770930495126801 0.0165908438802305 -0.00910758730117003 -0.524721922818732 -0.470412403511239 -0.717322274881844 -0.0208764064320173 -0.0880722729400576 0.0862641666597983 -0.686555715201729 -0.450979810499568 -0.597496136795101 -0.0971120197265994 -0.0417164808293948 -0.0471393985477522 -0.637812687210375 -0.634472244550432 -0.664591977786455 -0.453632943768818 -0.497096402038329 -0.453632943768818 -0.497096402038329 -0.545431612066571 -0.515922167555159 -0.475404785802305 -0.499839593745821 -0.639517432642651 -0.652050770910663 -0.531895161258213 -0.406435448904438 -0.596411165253602 -0.553060616663401 -0.390150939647061 -0.498583091676081 -0.180558714010749 0.0576291646962536 0.0583692776609798 -0.547348892435764 -0.507343617969859 -0.695305113832853 -0.543979776127867 -0.466251676533372 -0.737861932680115 -0.0488005965884726 -0.21527915818415 -0.0964496376997118 -0.623219182311527 -0.505309434070029 -0.553529065425648 -0.708263420861671 -0.429825832648703 -0.650476162132565 -0.0320324102759078 -0.0901517235974063 -0.0180063943472334 -0.478448523354179 -0.589710231217867 0.142062162506138 -0.499075765624092 -0.541823079570029 0.200055179527839 -0.535002770337752 -0.566576670397695 0.0649309438160231 -0.645970655298847 -0.685811262634006 0.198031580056455
"STANDING" 2 0.273113115788079 -0.0191323183174834 -0.115649958175497 -0.605586497159271 -0.428962986589404 -0.589360062210596 0.660782866688742 -0.147219886910411 0.134865335090728 -0.963015508245033 -0.960033560165563 -0.945365383907285 0.0785353156747351 0.00708771249764901 0.000755760748377483 -0.557809603123841 -0.491875889831788 -0.741885388311258 -0.0517030657821192 -0.0568420186817881 0.0872599422291391 -0.710648927815894 -0.722943674337748 -0.634888927843046 -0.0875587491668874 -0.0433986835453642 -0.0557541828188742 -0.671679103311258 -0.783595466728477 -0.674611933293046 -0.535281800541722 -0.552812545643709 -0.535281800541722 -0.552812545643709 -0.58777744543543 -0.512115278415232 -0.614771054893146 -0.680584887880795 -0.746559539039735 -0.740088733655629 -0.57377091142947 -0.432566581302351 -0.630081222124834 -0.619788102803311 -0.464723862913245 -0.600678614835099 -0.106763418901788 0.105734176023146 0.087210586428 -0.561682049622185 -0.50890379901457 -0.715745330403973 -0.595105612895033 -0.509147543673841 -0.767087015496689 0.0868000536209801 -0.139776595362185 -0.0942651868218543 -0.638717694593046 -0.722068978635762 -0.601594889654305 -0.734588540182119 -0.72716774102649 -0.683114494539735 -0.00576500648245033 -0.0702155008665563 0.0513627291214901 -0.514569861316887 -0.646662308457285 0.192199738218212 -0.509746432970861 -0.518800797709272 0.193066821118212 -0.699742945221854 -0.725310337688742 0.0471324812379801 -0.751615078360927 -0.744194981440397 0.124612068599768
"STANDING" 3 0.273428719636364 -0.017856067384956 -0.106492632429097 -0.623413602046921 -0.480015920697654 -0.653625579293255 0.707814353343108 -0.0260590480328739 0.0480937904190616 -0.966457565630499 -0.9445645371261 -0.926966278211144 0.0701731261988856 0.0144664329060411 -0.000526818872875366 -0.635484688041056 -0.55721186773783 -0.796066240234604 -0.0248490682828446 -0.0743565308442815 0.0866875497119062 -0.699262195705865 -0.76302218170088 -0.709483440322581 -0.0991554609633431 -0.0401923943695015 -0.0521178264170088 -0.689328428607038 -0.842659862111437 -0.743028500565982 -0.563140802770059 -0.591224780306452 -0.563140802770059 -0.591224780306452 -0.650182434328446 -0.607658214170381 -0.643150121648094 -0.674010290979472 -0.784056656246334 -0.80366136372434 -0.625733289873607 -0.501779938505279 -0.699656828592375 -0.623805015199413 -0.502753639795894 -0.657443765803519 -0.192817340495308 0.0389282523284457 0.00447261449052786 -0.645893496630499 -0.582949919157742 -0.780101644193548 -0.657844055881525 -0.559851186088408 -0.81080601659824 -0.0476941200470968 -0.236874240885924 -0.193657539305073 -0.642097719778592 -0.775144985073314 -0.670734708996481 -0.719276622702346 -0.758505287214076 -0.751008875659824 -0.102568067670674 -0.167675025582991 -0.0321862688221114 -0.579076453758064 -0.663079838985044 0.0770665587562757 -0.604752108072727 -0.615643694857361 0.11231984174566 -0.716822144279179 -0.703839403007038 -0.0846075231245126 -0.810085498651026 -0.810032718739003 0.0599628733252199
